State, Facility Name, Facility ID (ORISPL), Year,CO2 (Mt), Facility Latitude, Facility Longitude
AR,Pine Bluff Energy Center,55075,2021,0.155704624,34.2181,-91.9025
AR,Plum Point Energy Station,56456,2021,1.019473313,35.6626,-89.9469
AR,Thomas Fitzhugh,201,2021,0.023493008,35.4617,-93.8053
AR,Union Power Station,55380,2021,0.689801728,33.2961,-92.5933
AR,White Bluff,6009,2021,2.094891664,34.4236,-92.1392
AZ,APS Saguaro Power Plant,118,2021,0.008150633,32.5517,-111.3
AZ,APS West Phoenix Power Plant,117,2021,0.139547804,33.4417,-112.1583
AZ,Agua Fria Generating Station,141,2021,0.001159937,33.5542,-112.2161
AZ,Apache Station,160,2021,0.380466926,32.0619,-109.8931
AZ,Arlington Valley Energy Facility,55282,2021,0.212353367,33.3417,-112.8897
AZ,Black Mountain Generating Station,56482,2021,0.004697582,35.0361,-114.1594
AZ,Cholla,113,2021,0.308238775,34.9394,-110.3033
AZ,Coolidge Generating Station,56948,2021,0.033522355,32.9175,-111.5041
AZ,Coronado Generating Station,6177,2021,0.42746548,34.5778,-109.2717
AZ,De Moss Petrie Generating Station,124,2021,4.96974E-05,32.2511,-110.9889
AZ,Desert Basin Generating Station,55129,2021,0.162691403,32.9042,-111.7889
AZ,Gila River Power Station,55306,2021,0.778808844,32.9761,-112.694
AZ,Griffith Energy Project,55124,2021,0.274072534,35.0517,-114.1334
AZ,Irvington Generating Station,126,2021,0.030878258,32.16,-110.9047
AZ,Kyrene Generating Station,147,2021,0.112757191,33.3544,-111.9364
AZ,Mesquite Generating Station,55481,2021,0.512161977,33.3451,-112.8638
AZ,New Harquahala Generating Company,55372,2021,0,33.4759,-113.1133
AZ,Ocotillo Power Plant,116,2021,0.053567138,33.4225,-111.9122
AZ,Redhawk Generating Facility,55455,2021,0.455502102,33.33,-112.84
AZ,Santan,8068,2021,0.328242427,33.3333,-111.751
AZ,"South Point Energy Center, LLC",55177,2021,0.214978546,34.8678,-114.5317
AZ,Springerville Generating Station,8223,2021,1.951025432,34.3186,-109.1636
AZ,Sundance Power Plant,55522,2021,0.029959302,32.9285,-111.5899
AZ,Yucca Power Plant,120,2021,0.03492773,32.7214,-114.7097
AZ,Yuma Cogeneration Associates,54694,2021,0.001951944,32.7286,-114.6542
CA,AES Alamitos,315,2021,0.232918635,33.7688,-118.1009
CA,AES Huntington Beach,335,2021,0.33323331,33.6436,-117.9788
CA,AES Redondo Beach,356,2021,0.000687374,33.8504,-118.395
CA,Agua Mansa Power,55951,2021,0.000233419,34.0414,-117.3603
CA,Algonquin Power Sanger,57564,2021,0.005305649,36.72,-119.55
CA,Almond Power Plant,7315,2021,0.021711214,37.5739,-120.9854
CA,Badger Creek Limited,10650,2021,0.000300891,35.4837,-119.0299
CA,Barre Generating Station,56474,2021,0.003787693,33.8073,-117.9833
CA,Bear Mountain Limited,10649,2021,0.000241175,35.4192,-118.9266
CA,Blythe Energy,55295,2021,0.120914363,33.6157,-114.6865
CA,Cabrillo Power I Encina Power Station,302,2021,0.037962306,33.1408,-117.3342
CA,CalPeak Power - Border,55510,2021,0.002314203,32.5622,-116.9433
CA,CalPeak Power - Enterprise,55513,2021,0.001840062,33.1221,-117.117
CA,CalPeak Power - Panoche,55508,2021,0.002025096,36.6531,-120.5797
CA,CalPeak Power - Vaca Dixon,55499,2021,0.002242042,38.3989,-121.9239
CA,"Calpine Gilroy Cogen, LP",10034,2021,0.007671261,37.0001,-121.5367
CA,Calpine Sutter Energy Center,55112,2021,0.074948272,39.0531,-121.6939
CA,Canyon Power Plant,57027,2021,0.00486825,33.8581,-117.8616
CA,Carson Cogeneration,7527,2021,0.029855272,38.4461,-121.4614
CA,Carson Cogeneration Company,10169,2021,0.000161204,33.8759,-118.2491
CA,Center Generating Station,56475,2021,0.001027878,33.9297,-118.1047
CA,Chula Vista Energy Center,55540,2021,0.000167868,32.5914,-117.0586
CA,Coalinga Cogeneration Facility,50131,2021,0,36.1807,-120.3885
CA,Colusa Generating Station,56532,2021,0.177341252,39.3648,-122.268
CA,Cosumnes Power Plant,55970,2021,0.376124769,38.3383,-121.1239
CA,Creed Energy Center,55625,2021,0.000704501,38.2419,-121.8551
CA,Cuyamaca Peak Energy,55512,2021,0.000372829,32.7971,-116.972
CA,DTE Stockton,54238,2021,0.134975928,37.9416,-121.3273
CA,"Delano Energy Center, LLC",58122,2021,0.000692709,35.7909,-119.2945
CA,"Delta Energy Center, LLC",55333,2021,0.401229558,38.0167,-121.8439
CA,Donald Von Raesfeld,56026,2021,0.087462999,37.3767,-121.9508
CA,El Cajon Energy Center,57001,2021,0.000171759,32.7971,-116.972
CA,El Centro,389,2021,0.054558432,32.8022,-115.54
CA,El Segundo,330,2021,0.009124537,33.9106,-118.425
CA,Elk Hills Power,55400,2021,0.322944877,35.2802,-119.4699
CA,"Escondido Energy Center, LLC",55538,2021,0.001386596,33.1261,-117.1172
CA,Feather River Energy Center,55847,2021,0.003296528,39.1088,-121.6133
CA,"Fresno Cogeneration Partners, LP",10156,2021,3.28337E-05,36.6183,-120.1
CA,Gateway Generating Station,56476,2021,0.367202136,38.0167,-121.7592
CA,"Gilroy Energy Center, LLC",55810,2021,0.001571934,36.999,-121.5363
CA,Glenarm,422,2021,0.00184218,34.1256,-118.1474
CA,Goal Line,54749,2021,3.45093E-05,33.1185,-117.0995
CA,Goose Haven Energy Center,55627,2021,0.000814711,38.2271,-121.844
CA,Grapeland Generating Station,56472,2021,0.004106504,34.09,-117.534
CA,Grayson Power Plant,377,2021,0.026500351,34.1556,-118.2782
CA,Hanford Energy Park Peaker,55698,2021,0.000190501,36.2689,-119.6469
CA,Harbor Generating Station,399,2021,0.00772125,33.7691,-118.2662
CA,Haynes Generating Station,400,2021,0.06167039,33.7639,-118.0942
CA,Henrietta Peaker Plant,55807,2021,0.001744027,36.2397,-119.9044
CA,High Desert Power Project,55518,2021,0.37522043,34.5953,-117.3647
CA,Indigo Generation Facility,55541,2021,0.002817008,33.9114,-116.5533
CA,Ivanpah 1,57074,2021,0.004862239,35.5356,-115.4515
CA,Ivanpah 2,57073,2021,0.005055833,35.5561,-115.4686
CA,Ivanpah 3,57075,2021,0.00437744,35.5808,-115.4825
CA,King City Power Plant,10294,2021,0.005127507,36.225,-121.1278
CA,Kingsburg Cogen Facility,10405,2021,0.000292555,36.547,-119.578
CA,La Paloma Generating Plant,55151,2021,0.030999306,35.2956,-119.5919
CA,Lake,7987,2021,0,34.1775,-118.3147
CA,Lambie Energy Center,55626,2021,0.000811011,38.2216,-121.8683
CA,Larkspur Energy Faciity,55542,2021,0.001130926,32.5672,-116.9444
CA,Live Oak Limited,54768,2021,0.000311754,35.4837,-119.0298
CA,Lodi Energy Center,57978,2021,0.106426269,38.088,-121.3867
CA,Long Beach Generating Station,341,2021,4.20925E-05,33.7641,-118.2248
CA,Los Esteros Critical Energy Facility,55748,2021,0.016287936,37.425,-121.9319
CA,"Los Medanos Energy Center, LLC",55217,2021,0.362427617,38.03,-121.8708
CA,Magnolia,56046,2021,0.013107032,34.1788,-118.3153
CA,Malaga Power,56239,2021,0.000922126,36.6894,-119.7399
CA,Malburg Generating Station,56041,2021,0.051411615,33.9983,-118.2219
CA,Mariposa Energy Project,57483,2021,0.00769365,37.7965,-121.6049
CA,Marsh Landing Generating Station,57267,2021,0.031957389,38.0171,-121.7651
CA,McGrath Generating Station,56471,2021,0.000188086,34.2054,-119.2478
CA,McKittrick Limited,50612,2021,0.000416942,35.3195,-119.662
CA,Metcalf Energy Center,55393,2021,0.226394212,37.2169,-121.7439
CA,Midway Peaking,56639,2021,0.003370247,36.654,-120.5797
CA,Mira Loma Generating Station,56473,2021,0.000942152,34.0054,-117.5604
CA,Miramar Energy Facility,56232,2021,0.002329734,32.8769,-117.1664
CA,Moss Landing,260,2021,0.470468675,36.8042,-121.7775
CA,Mountainview Generating Station,358,2021,0.090950823,34.0836,-117.2408
CA,NCPA Combustion Turbine Project #2,7449,2021,0.002345524,38.088,-121.3871
CA,Niland Gas Turbine Plant,56569,2021,0.004029668,33.2432,-115.498
CA,Olive,6013,2021,0,34.1775,-118.3147
CA,Orange Grove Project,56914,2021,0.000650893,33.359,-117.111
CA,"Ormond Beach Power, LLC.",350,2021,0.011903796,34.1292,-119.1689
CA,"Otay Mesa Energy Center, LLC",55345,2021,0.154073806,32.5733,-116.9153
CA,Palomar Energy Center,55985,2021,0.095726833,33.1192,-117.118
CA,Panoche Energy Center,56803,2021,0.071784445,36.6513,-120.5833
CA,Pastoria Energy Facility,55656,2021,0.420557644,34.9556,-118.844
CA,Pio Pico Energy Center LLC,57555,2021,0.003528018,32.5739,-116.9178
CA,Redding Power Plant,7307,2021,0.028995208,40.5083,-122.4253
CA,Ripon Generation Station,56135,2021,0.000638597,37.7315,-121.116
CA,Riverside Energy Resource Center,56143,2021,0.005270709,33.9636,-117.4528
CA,Riverview Energy Center,55963,2021,0.001117954,38.0145,-121.7901
CA,Roseville Energy Park,56298,2021,0.00424924,38.7926,-121.3823
CA,Russell City Energy Company LLC,56467,2021,0.04855316,37.6341,-122.1326
CA,SCA Cogen II,7551,2021,0.077667454,38.5306,-121.399
CA,Sacramento Power Authority Cogen,7552,2021,0.034172442,38.511,-121.4735
CA,Salinas River Cogeneration Facility,50865,2021,0.054433669,35.9515,-120.8679
CA,Sargent Canyon Cogen Facility,50864,2021,0,35.9359,-120.8405
CA,Scattergood Generating Station,404,2021,0.16694335,33.9175,-118.4258
CA,"Sentinel Energy Center, LLC",57482,2021,0.073744429,33.9366,-116.5722
CA,Stanton Energy Reliability Center,60698,2021,0.001291485,33.807,-117.9864
CA,Sunrise Power Company,55182,2021,0.234189471,35.2097,-119.585
CA,Tracy Combined Cycle Power Plant,55933,2021,0.087834101,37.7107,-121.4906
CA,Valley Generating Station,408,2021,0.116417931,34.2481,-118.3903
CA,Walnut Creek Energy Park,57515,2021,0.016744849,34.0078,-117.9425
CA,Walnut Energy Center,56078,2021,0.128335657,37.4878,-120.8956
CA,Wolfskill Energy Center,55855,2021,0.000620711,38.2282,-122.076
CA,Woodland Generation Station,7266,2021,0.042531848,37.6528,-121.0172
CA,Yuba City Energy Center,10349,2021,0.004752052,39.1365,-121.6397
CO,Arapahoe Combustion Turbine Facility,55200,2021,0.020486229,39.6692,-105.0018
CO,Blue Spruce Energy Center,55645,2021,0.035432299,39.7436,-104.68
CO,Brush Power Projects,10682,2021,0.009247718,40.2415,-103.631
CO,Cherokee,469,2021,0.285717733,39.8078,-104.9648
CO,Comanche (470),470,2021,2.146501224,38.2081,-104.5747
CO,Craig,6021,2021,2.119610921,40.4627,-107.5912
