State, Facility Name, Facility ID (ORISPL), Year, Gross Load (MW-h), CO2 (short tons), Heat Input (MMBtu), Facility Latitude, Facility Longitude,CO2 (Mt)
AZ,De Moss Petrie Generating Station,124,2020,1696.76,1299.097,21859.563,32.2511,-110.9889,0.001178521
AZ,Desert Basin Generating Station,55129,2020,1848754.02,833394.723,14023585.18,32.9042,-111.7889,0.756043192
AZ,Gila River Power Station,55306,2020,11556653.61,4918299.043,82759781.04,32.9761,-112.694,4.461807117
AZ,Griffith Energy Project,55124,2020,2443620.64,1016928.412,17111808.53,35.0517,-114.1334,0.922542201
AZ,Irvington Generating Station,126,2020,1016197.97,629887.725,10599106.42,32.16,-110.9047,0.571424696
AZ,Kyrene Generating Station,147,2020,1696594.75,681150.912,11461683.53,33.3544,-111.9364,0.61792989
AZ,Mesquite Generating Station,55481,2020,7529047.78,3128882.417,52649421.69,33.3451,-112.8638,2.838475195
AZ,New Harquahala Generating Company,55372,2020,,,,33.4759,-113.1133,0
AZ,Ocotillo Power Plant,116,2020,745274.13,415931.12,6998883.022,33.4225,-111.9122,0.377326473
AZ,Redhawk Generating Facility,55455,2020,5704931.18,2311182.125,38889979.83,33.33,-112.84,2.096669756
AZ,Santan,8068,2020,4894521.78,2061555.255,34689677.24,33.3333,-111.751,1.870212004
AZ,"South Point Energy Center, LLC",55177,2020,3163446.68,1384558.425,23297818.77,34.8678,-114.5317,1.256050635
AZ,Springerville Generating Station,8223,2020,8525341.73,8777652.853,83732537.39,34.3186,-109.1636,7.962955003
AZ,Sundance Power Plant,55522,2020,429934.92,278431.814,4685144.242,32.9285,-111.5899,0.252589165
AZ,Yucca Power Plant,120,2020,417785.34,290612.052,4890130.695,32.7214,-114.7097,0.263638894
AZ,Yuma Cogeneration Associates,54694,2020,112901.06,61884.789,1041395.097,32.7286,-114.6542,0.056140952
CA,AES Alamitos,315,2020,1748744.83,901172.842,15163913.19,33.7688,-118.1009,0.817530485
CA,AES Huntington Beach,335,2020,1291729.11,562099.998,9458494.236,33.6436,-117.9788,0.509928687
CA,AES Redondo Beach,356,2020,320561,264167.6,4445420.7,33.8504,-118.395,0.239648884
CA,Agua Mansa Power,55951,2020,15436.75,9639.375,162191.325,34.0414,-117.3603,0.008744696
