State, Facility Name, Facility ID (ORISPL), Year, CO2 (short tons), Facility Latitude, Facility Longitude
CA,Chula Vista Energy Center,55540,2021,185.043,32.5914,-117.0586
CA,Coalinga Cogeneration Facility,50131,2021,,36.1807,-120.3885
CA,Colusa Generating Station,56532,2021,195485.212,39.3648,-122.268
CA,Cosumnes Power Plant,55970,2021,414606.468,38.3383,-121.1239
CA,Creed Energy Center,55625,2021,776.579,38.2419,-121.8551
CA,Cuyamaca Peak Energy,55512,2021,410.974,32.7971,-116.972
CA,DTE Stockton,54238,2021,148785.449,37.9416,-121.3273
CA,"Delano Energy Center, LLC",58122,2021,763.581,35.7909,-119.2945
CA,"Delta Energy Center, LLC",55333,2021,442279.753,38.0167,-121.8439
CA,Donald Von Raesfeld,56026,2021,96411.425,37.3767,-121.9508
CA,El Cajon Energy Center,57001,2021,189.332,32.7971,-116.972
CA,El Centro,389,2021,60140.359,32.8022,-115.54
CA,El Segundo,330,2021,10058.078,33.9106,-118.425
CA,Elk Hills Power,55400,2021,355985.689,35.2802,-119.4699
CA,"Escondido Energy Center, LLC",55538,2021,1528.46,33.1261,-117.1172
CA,Feather River Energy Center,55847,2021,3633.799,39.1088,-121.6133
CA,"Fresno Cogeneration Partners, LP",10156,2021,36.193,36.6183,-120.1
CA,Gateway Generating Station,56476,2021,404770.952,38.0167,-121.7592
CA,"Gilroy Energy Center, LLC",55810,2021,1732.76,36.999,-121.5363
CA,Glenarm,422,2021,2030.655,34.1256,-118.1474
CA,Goal Line,54749,2021,38.04,33.1185,-117.0995
CA,Goose Haven Energy Center,55627,2021,898.065,38.2271,-121.844
CA,Grapeland Generating Station,56472,2021,4526.645,34.09,-117.534
CA,Grayson Power Plant,377,2021,29211.628,34.1556,-118.2782
CA,Hanford Energy Park Peaker,55698,2021,209.991,36.2689,-119.6469
CA,Harbor Generating Station,399,2021,8511.219,33.7691,-118.2662
CA,Haynes Generating Station,400,2021,67979.949,33.7639,-118.0942
CA,Henrietta Peaker Plant,55807,2021,1922.46,36.2397,-119.9044
CA,High Desert Power Project,55518,2021,413609.605,34.5953,-117.3647
CA,Indigo Generation Facility,55541,2021,3105.219,33.9114,-116.5533
CA,Ivanpah 1,57074,2021,5359.7,35.5356,-115.4515
CA,Ivanpah 2,57073,2021,5573.1,35.5561,-115.4686
CA,Ivanpah 3,57075,2021,4825.3,35.5808,-115.4825
CA,King City Power Plant,10294,2021,5652.107,36.225,-121.1278
CA,Kingsburg Cogen Facility,10405,2021,322.487,36.547,-119.578
CA,La Paloma Generating Plant,55151,2021,34170.876,35.2956,-119.5919
CA,Lake,7987,2021,,34.1775,-118.3147
CA,Lambie Energy Center,55626,2021,893.986,38.2216,-121.8683
CA,Larkspur Energy Faciity,55542,2021,1246.632,32.5672,-116.9444
CA,Live Oak Limited,54768,2021,343.65,35.4837,-119.0298
CA,Lodi Energy Center,57978,2021,117314.846,38.088,-121.3867
CA,Long Beach Generating Station,341,2021,46.399,33.7641,-118.2248
CA,Los Esteros Critical Energy Facility,55748,2021,17954.371,37.425,-121.9319
CA,"Los Medanos Energy Center, LLC",55217,2021,399507.947,38.03,-121.8708
CA,Magnolia,56046,2021,14448.026,34.1788,-118.3153
CA,Malaga Power,56239,2021,1016.47,36.6894,-119.7399
CA,Malburg Generating Station,56041,2021,56671.588,33.9983,-118.2219
CA,Mariposa Energy Project,57483,2021,8480.795,37.7965,-121.6049
CA,Marsh Landing Generating Station,57267,2021,35226.981,38.0171,-121.7651
CA,McGrath Generating Station,56471,2021,207.329,34.2054,-119.2478
CA,McKittrick Limited,50612,2021,459.6,35.3195,-119.662
CA,Metcalf Energy Center,55393,2021,249556.829,37.2169,-121.7439
CA,Midway Peaking,56639,2021,3715.06,36.654,-120.5797
CA,Mira Loma Generating Station,56473,2021,1038.544,34.0054,-117.5604
CA,Miramar Energy Facility,56232,2021,2568.091,32.8769,-117.1664
CA,Moss Landing,260,2021,518602.793,36.8042,-121.7775
CA,Mountainview Generating Station,358,2021,100256.092,34.0836,-117.2408
CA,NCPA Combustion Turbine Project #2,7449,2021,2585.497,38.088,-121.3871
CA,Niland Gas Turbine Plant,56569,2021,4441.947,33.2432,-115.498
CA,Olive,6013,2021,,34.1775,-118.3147
CA,Orange Grove Project,56914,2021,717.486,33.359,-117.111
CA,"Ormond Beach Power, LLC.",350,2021,13121.685,34.1292,-119.1689
CA,"Otay Mesa Energy Center, LLC",55345,2021,169837.25,32.5733,-116.9153
CA,Palomar Energy Center,55985,2021,105520.741,33.1192,-117.118
CA,Panoche Energy Center,56803,2021,79128.783,36.6513,-120.5833
CA,Pastoria Energy Facility,55656,2021,463585.315,34.9556,-118.844
CA,Pio Pico Energy Center LLC,57555,2021,3888.973,32.5739,-116.9178
CA,Redding Power Plant,7307,2021,31961.737,40.5083,-122.4253
CA,Ripon Generation Station,56135,2021,703.933,37.7315,-121.116
CA,Riverside Energy Resource Center,56143,2021,5809.96,33.9636,-117.4528
CA,Riverview Energy Center,55963,2021,1232.333,38.0145,-121.7901
CA,Roseville Energy Park,56298,2021,4683.984,38.7926,-121.3823
CA,Russell City Energy Company LLC,56467,2021,53520.682,37.6341,-122.1326
CA,SCA Cogen II,7551,2021,85613.689,38.5306,-121.399
CA,Sacramento Power Authority Cogen,7552,2021,37668.659,38.511,-121.4735
CA,Salinas River Cogeneration Facility,50865,2021,60002.832,35.9515,-120.8679
