Spud Date,Total Depth Date,LONG,LAT,API Well Number
19631001,19631025,-93.014591,29.389957,1.77E+11
20000302,20000319,-93.014591,29.389957,1.77E+11
19610801,19610815,-93.157123,29.411272,1.77E+11
19610130,19610220,-93.187613,29.377074,1.77E+11
19561218,19570306,-93.289377,29.488701,1.77E+11
19590611,19601102,-93.406042,29.406779,1.77E+11
19590928,19600113,-93.406094,29.406746,1.77E+11
19600202,19600413,-93.406042,29.406779,1.77E+11
19600424,19600725,-93.406092,29.406779,1.77E+11
19600804,19601017,-93.406051,29.406804,1.77E+11
19601109,19610106,-93.416244,29.424803,1.77E+11
19610111,19610205,-93.416275,29.424787,1.77E+11
19610207,19610502,-93.416294,29.424808,1.77E+11
19610509,19610607,-93.416279,29.424817,1.77E+11
19610624,19610718,-93.41626,29.424828,1.77E+11
19490531,19490827,-93.427896,29.441211,1.77E+11
19500315,19500419,-93.427878,29.441222,1.77E+11
19500430,19500605,-93.427856,29.441237,1.77E+11
19540403,19540520,-93.427835,29.441267,1.77E+11
19540803,19540909,-93.427896,29.441211,1.77E+11
19540519,19540709,-93.427896,29.441211,1.77E+11
19541107,19541219,-93.427896,29.441211,1.77E+11
19540929,19541101,-93.427896,29.441211,1.77E+11
19541230,19550119,-93.427896,29.441211,1.77E+11
19550124,19550201,-93.427896,29.441211,1.77E+11
19550207,19550228,-93.427769,29.441274,1.77E+11
19560928,19561125,-93.427977,29.441152,1.77E+11
19561206,19570112,-93.427999,29.441141,1.77E+11
19570202,19570318,-93.428014,29.441124,1.77E+11
19550321,19550725,-93.456017,29.433882,1.77E+11
19550726,19551022,-93.45602,29.433882,1.77E+11
19551029,19560109,-93.456017,29.433882,1.77E+11
19560110,19560330,-93.456017,29.433882,1.77E+11
19600419,19610812,-93.182537,29.365732,1.77E+11
19600814,19610125,-93.182493,29.36592,1.77E+11
19610127,19610302,-93.182454,29.365849,1.77E+11
19610423,19610507,-93.182471,29.365885,1.77E+11
19610307,19610423,-93.182471,29.365885,1.77E+11
19610620,19610716,-93.18248,29.365904,1.77E+11
19610508,19610531,-93.18248,29.365904,1.77E+11
19610717,19610820,-93.182464,29.365868,1.77E+11
19601107,19610127,-93.177775,29.356036,1.77E+11
19600809,19600924,-93.177775,29.356036,1.77E+11
19610404,19610523,-93.177722,29.355883,1.77E+11
19610523,19610704,-93.177712,29.355861,1.77E+11
19610704,19610814,-93.177705,29.355842,1.77E+11
19610814,19611024,-93.177692,29.355823,1.77E+11
19611024,19620226,-93.177683,29.355803,1.77E+11
19601025,19610128,-93.189651,29.351467,1.77E+11
19610129,19610323,-93.195969,29.345456,1.77E+11
19610627,19610720,-93.181276,29.337487,1.77E+11
19610813,19610926,-93.139736,29.373481,1.77E+11
19630731,19630815,-93.149988,29.372789,1.77E+11
19610815,19610825,-93.143477,29.255511,1.77E+11
19620702,19620711,-93.079178,29.295355,1.77E+11
19540425,19540714,-93.055838,29.293836,1.77E+11
19540720,19540831,-93.055835,29.293814,1.77E+11
19540905,19630826,-93.055834,29.293792,1.77E+11
19541016,19550111,-93.055521,29.293293,1.77E+11
19560831,19561008,-93.055831,29.29377,1.77E+11
19561207,19570129,-93.055827,29.293748,1.77E+11
19631116,19631117,-93.055827,29.293748,1.77E+11
19631118,19631121,-93.055827,29.293748,1.77E+11
19560121,19560322,-93.026821,29.307015,1.77E+11
19560807,19560824,-93.037696,29.293901,1.77E+11
19560907,19561018,-93.03783,29.293858,1.77E+11
19640621,19640707,-93.013211,29.294182,1.77E+11
19550912,19551122,-93.013211,29.294182,1.77E+11
19560803,19560831,-93.012987,29.294135,1.77E+11
19561027,19561201,-93.013204,29.294138,1.77E+11
19600707,19600807,-93.013047,29.294115,1.77E+11
19960503,19960518,-93.013047,29.294115,1.77E+11
19560618,19560821,-93.013724,29.274434,1.77E+11
19560824,19560922,-93.013753,29.274631,1.77E+11
19561103,19561211,-93.013752,29.274587,1.77E+11
19600725,19600930,-93.155192,29.244347,1.77E+11
19620424,19620509,-93.307672,29.180638,1.77E+11
19620519,19620519,-93.286513,29.127087,1.77E+11
19620731,19620825,-93.290333,29.136698,1.77E+11
19590321,19590428,-93.088378,29.056069,1.77E+11
19570315,19570413,-93.088573,29.031314,1.77E+11
19590209,19590404,-93.11562,29.036736,1.77E+11
19551207,19560226,-93.117707,29.04379,1.77E+11
19551023,19551117,-93.117707,29.04379,1.77E+11
19600826,19601009,-93.640082,29.498775,1.77E+11
19620329,19620531,-93.644799,29.487527,1.77E+11
19620615,19620719,-93.640015,29.498719,1.77E+11
19620726,19620806,-93.647959,29.493383,1.77E+11
19600505,19600730,-93.562048,29.37068,1.77E+11
19600928,19601016,-93.547389,29.377729,1.77E+11
19620407,19620426,-93.0235,28.960522,1.77E+11
19620625,19620701,-93.009583,28.93375,1.77E+11
19620709,19620715,-93.0143,28.933906,1.77E+11
19621220,19630122,-93.027428,28.947751,1.77E+11
19630226,19630323,-93.016659,28.945828,1.77E+11
19620615,19620814,-93.131071,28.825045,1.77E+11
19631020,19631112,-93.139084,28.827844,1.77E+11
