"202101","G03331","","01171132000","20171132000","01","      54","02628","Arena Offshore, LP","           0","           0","           0","           0","","           0"
"202101","G04081","","01170230812","20170230810","02","       0","03295","Fieldwood Energy LLC","         896","           0","           0","           0","","         896"
"202101","G04232","","01171012500","20171012500","01","    42.1","00730","Walter Oil & Gas Corporation","         570","         699","         822","           0","","         447"
"202101","G04421","","01171131600","20171131600","01","       0","03295","Fieldwood Energy LLC","        1060","           0","           0","           0","","        1060"
"202101","G05006","","01423210051","20170230510","02","      45","01284","W & T Offshore, Inc.","         168","           0","           0","           0","","         168"
"202101","G05431","","01177062608","2017706260A","02","    35.5","02970","Castex Offshore, Inc.","          40","        7748","        7748","           0","","          40"
"202101","G05504","","01171132800","21171132800","01","    53.3","03295","Fieldwood Energy LLC","         946","        6027","        4067","          -1","42","        2905"
"202101","G05504","","01171132800","21171132800","01","    53.3","00730","Walter Oil & Gas Corporation","        1337","        2935","        2492","           0","","        1780"
"202101","G05504","","01171132800","21171132800","02","    53.3","03619","Talos Third Coast LLC","        3315","        2522","        3405","           0","","        2432"
"202101","G05505","","01171132800","21171132800","01","    55.7","02628","Arena Offshore, LP","           0","           0","           0","           0","","           0"
"202101","G07760","","01177122950","20177122950","01","    29.2","01284","W & T Offshore, Inc.","         175","       20237","       20239","           0","","         173"
"202101","G09631","","01177122950","20177122950","01","    29.5","01284","W & T Offshore, Inc.","           0","         153","         153","           0","","           0"
"202101","G10741","","01171132800","20171132000","01","      54","02628","Arena Offshore, LP","           0","           0","           0","           0","","           0"
"202101","G10910","","01177245110","2017724511G","01","    44.5","03026","EnVen Energy Ventures, LLC","           0","        7673","        7673","           0","","           0"
"202101","G12802","","01170230811","20170230811","01","    42.3","02628","Arena Offshore, LP","          42","           0","           0","           9","42","          51"
"202101","G13081","","01608103650","20608103650","01","    35.9","01284","W & T Offshore, Inc.","          94","       11653","       11682","           0","","          65"
"202101","G14342","","01170230811","20170230811","01","    42.3","02628","Arena Offshore, LP","        7400","           0","           0","        1611","42","        9011"
"202101","G15050","","01170231110","20170231110","01","       0","03295","Fieldwood Energy LLC","        1006","           0","           0","           0","","        1006"
"202101","G15277","","01171012400","20171012400","01","    68.8","03295","Fieldwood Energy LLC","           9","         809","           5","          -1","42","         812"
"202101","G15277","","01171012400","20171012400","02","    68.8","03295","Fieldwood Energy LLC","          39","        2879","          22","           0","","        2896"
"202101","G15312","","01171092651","20171092650","01","       0","03295","Fieldwood Energy LLC","        5960","           0","           0","           0","","        5960"
"202101","G16515","","01177245110","2017724511G","01","    44.5","03026","EnVen Energy Ventures, LLC","           0","        1729","        1729","           0","","           0"
"202101","G17912","","01177062608","2017706260A","02","    35.5","02970","Castex Offshore, Inc.","          54","       14411","       14411","           0","","          54"
"202101","G17921","","01171012500","20177062959","01","    25.9","03026","EnVen Energy Ventures, LLC","           0","       10198","       10198","           0","","           0"
"202101","G20660","","01170230450","20170230450","02","       0","03295","Fieldwood Energy LLC","         115","           0","           0","           0","","         115"
"202101","G21532","","01170230811","20170230811","01","    37.1","03520","Sanare Energy Partners, LLC","         601","          96","           0","           0","","         697"
"202101","G21592","","01171132000","20171132000","02","    38.8","02628","Arena Offshore, LP","          99","        1752","        1751","           0","","         100"
"202101","G21655","","01171132800","21171132800","02","    53.3","03247","Talos Energy Offshore LLC","        2600","        1620","        2462","           0","","        1758"
"202101","G22501","","01170230400","20170230400","01","    47.1","03151","Cox Operating, L.L.C.","         737","         991","         807","           1","42","         922"
"202101","G23730","","01170230810","20170230811","01","    37.1","03520","Sanare Energy Partners, LLC","           1","           3","           0","           0","","           4"
"202101","G23735","","01170230812","20170230810","02","       0","03295","Fieldwood Energy LLC","         150","           0","           0","           0","","         150"
"202101","G23736","","01170230810","20170230810","01","       0","00730","Walter Oil & Gas Corporation","       14746","           0","           0","           0","","       14746"
